event_id,avg_speed,avg_hr,heart_rate_stop,cadence_stop
448,11.41928567,131.3169919,124,83
448,11.41928567,131.3169919,119,84
448,11.41928567,131.3169919,131,83
448,11.41928567,131.3169919,134,84
676,11.42385157,136.6160355,147,81
676,11.42385157,136.6160355,150,83
676,11.42385157,136.6160355,133,83
676,11.42385157,136.6160355,144,86
676,11.42385157,136.6160355,144,85
676,11.42385157,136.6160355,147,86
676,11.42385157,136.6160355,155,88
795,11.43082635,146.2261249,173,86
795,11.43082635,146.2261249,146,83
795,11.43082635,146.2261249,148,84
795,11.43082635,146.2261249,145,85
795,11.43082635,146.2261249,149,84
795,11.43082635,146.2261249,153,81
712,11.43291377,141.8499096,129,83
712,11.43291377,141.8499096,136,83
712,11.43291377,141.8499096,103,84
712,11.43291377,141.8499096,143,84
484,11.43509726,135.808958,177,86
484,11.43509726,135.808958,159,83
484,11.43509726,135.808958,153,85
484,11.43509726,135.808958,139,82
484,11.43509726,135.808958,162,82
484,11.43509726,135.808958,108,59
484,11.43509726,135.808958,161,82
484,11.43509726,135.808958,129,84
484,11.43509726,135.808958,137,82
484,11.43509726,135.808958,142,83
484,11.43509726,135.808958,130,83
484,11.43509726,135.808958,135,82
484,11.43509726,135.808958,131,85
484,11.43509726,135.808958,123,83
484,11.43509726,135.808958,133,84
484,11.43509726,135.808958,123,84
484,11.43509726,135.808958,127,84
484,11.43509726,135.808958,120,83
484,11.43509726,135.808958,101,84
623,11.44366613,139.0111871,135,82
623,11.44366613,139.0111871,129,81
623,11.44366613,139.0111871,150,83
408,11.44689004,146.8439292,161,83
408,11.44689004,146.8439292,146,83
32,11.45392983,154.3617443,154,82
624,11.45548291,137.5638186,121,83
624,11.45548291,137.5638186,137,83
624,11.45548291,137.5638186,145,83
624,11.45548291,137.5638186,144,83
624,11.45548291,137.5638186,138,83
624,11.45548291,137.5638186,136,83
624,11.45548291,137.5638186,133,84
624,11.45548291,137.5638186,149,86
644,11.46109976,134.0286275,131,82
644,11.46109976,134.0286275,138,83
644,11.46109976,134.0286275,136,83
644,11.46109976,134.0286275,138,84
644,11.46109976,134.0286275,137,84
644,11.46109976,134.0286275,137,84
644,11.46109976,134.0286275,134,83
644,11.46109976,134.0286275,135,83
644,11.46109976,134.0286275,116,87
644,11.46109976,134.0286275,137,83
644,11.46109976,134.0286275,139,83
791,11.46202888,142.149707,136,83
791,11.46202888,142.149707,133,84
791,11.46202888,142.149707,139,85
791,11.46202888,142.149707,151,85
728,11.47300241,149.3596533,167,83
728,11.47300241,149.3596533,155,84
403,11.47452658,147.4767559,147,83
403,11.47452658,147.4767559,147,83
