event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
171,306,140,141.1032468,12.69442753,20
481,306,157,155.4838391,13.67780343,11
149,307,162,161.6591745,14.32630629,21
381,308,143,133.1346633,11.5817968,30
714,309,159,152.0839895,12.9531225,3
290,310,164,154.6904594,11.93482177,9
647,310,131,137.2684373,11.70552419,21
335,312,161,157.7813394,14.27815741,14
181,313,154,148.3735882,12.73259322,13
249,313,159,147.6396166,12.12632741,-1
598,313,144,154.2317808,11.91046388,21
735,313,163,150.1109906,11.80352408,10
723,314,156,145.0860821,11.64771456,21
719,316,175,155.1047516,12.92465054,11
713,317,156,138.3207237,11.31661761,8
342,318,174,166.2539185,18.79346708,15
650,318,171,164.8840125,19.24000251,33
652,319,161,149.296372,11.77471978,26
379,320,120,112.8872215,10.26521746,24
641,320,125,134.0667441,11.71085955,24
706,321,163,138.0301825,11.37442695,13
719,321,155,155.1047516,12.92465054,11
826,321,145,141.0436469,12.08379631,24
232,323,142,144.615493,11.02947718,-25
591,323,148,133.0942207,10.80352056,26
656,323,149,142.4051891,11.34577291,26
581,324,165,141.8521303,12.46778256,9
633,324,150,149.6162676,13.09309408,24
834,324,161,157.2769508,13.45272909,16
237,325,144,138.6553641,12.05199956,2
398,326,162,151.7238112,12.16203495,23
564,327,163,146.8555766,12.53359469,6
707,327,150,137.8327039,11.3032142,12
50,328,92,150.2420382,12.97113529,6
291,328,170,165.6520651,13.22159099,22
437,328,159,122.7234957,10.68763958,11
638,329,139,133.9193217,12.06376095,26
701,329,132,139.4565842,11.64809701,15
138,330,159,156.9331976,15.20062974,23
502,330,166,146.8860927,12.50144424,-1
782,330,169,155.4073084,12.82674331,-4
382,331,156,151.6675138,14.59635934,23
476,332,151,139.2009536,12.12095616,3
16,334,110,143.0171329,12.58336786,23
259,334,87,162.4146341,15.08849447,3
589,334,127,140.4366293,11.20080284,23
630,337,134,146.3974215,12.85647982,23
85,338,149,150.8939567,13.23366773,-6
238,338,160,152.7323232,13.88891943,
142,339,169,163.4546314,16.73681813,21
584,339,142,135.7148453,11.9700973,19
832,339,161,138.5223325,11.34720803,14
316,340,135,138.1152882,13.69386767,23
803,341,130,135.4876777,10.88275905,11
4,344,156,149.4106115,12.51918142,
134,345,155,152.8026735,12.44712914,32
238,345,161,152.7323232,13.88891943,
317,345,132,135.8016194,12.00831255,16
238,346,154,152.7323232,13.88891943,
296,346,180,151.6664204,13.10634239,14
660,346,133,151.977494,13.65589691,23
418,347,143,132.6454462,12.26532172,20
705,347,130,144.3242718,12.55562097,24
110,348,153,156.9107143,14.20249176,16
121,351,159,163.4134955,13.99733103,24
569,352,146,133.8945445,11.25614471,8
655,353,133,137.9701428,11.2655031,25
158,354,153,142.5225989,13.00288563,29
750,354,163,146.7084779,11.38021398,12
56,355,153,153.9415496,13.09210304,1
400,355,125,124.564346,11.27125633,24
172,356,157,155.8322034,13.4239973,16
29,357,164,152.5630281,12.54418169,8
333,357,155,151.2302826,13.80920219,19
211,358,164,152.9886493,13.09466901,0
350,358,148,134.3880699,12.08442408,25
311,359,161,153.5604808,14.03154013,10
237,360,129,138.6553641,12.05199956,2
572,361,162,139.7391823,11.65189091,10
483,362,157,142.6484065,12.67416286,9
585,362,171,138.4226295,11.67174989,15
257,363,169,147.5862228,12.0639828,-1
322,363,139,144.7227969,12.52358974,27
330,363,163,149.8450106,13.03356688,16
497,363,150,162.7599289,14.98121181,1
298,364,148,147.4982771,13.43258746,8
719,364,171,155.1047516,12.92465054,11
720,364,144,163.2158365,12.42664138,13
58,366,162,152.8408987,13.5253513,1
386,366,154,149.0964686,13.30815917,28
17,367,163,135.2583047,10.10541781,17
304,368,166,165.3728949,15.38680417,10
355,368,147,135.5260516,12.38773078,26
161,369,161,164.6705927,12.94125435,30
312,369,133,136.8146311,11.85785319,27
390,369,137,145.4269289,13.96439891,22
260,370,163,152.1223502,12.73178309,3
388,370,111,113.0173954,10.33265501,24
458,370,170,163.0935987,9.454793552,-5
619,370,163,139.8797771,10.99316375,25
126,373,158,164.1869424,14.06810511,22
142,373,175,163.4546314,16.73681813,21
6,374,153,144.8876781,14.83615977,18
662,374,115,127.1428073,10.84690157,25
57,375,149,143.8517499,12.73277814,0
401,376,160,145.7766583,13.70208161,26
476,376,154,139.2009536,12.12095616,3
347,377,153,149.8834356,13.43652831,25
366,377,155,151.6804295,13.28709472,33
562,377,164,146.4650073,12.95960657,4
384,378,137,141.9528411,13.3879213,26
812,378,155,138.2446853,12.01709112,16
110,379,159,156.9107143,14.20249176,16
596,380,162,147.7573681,11.60783605,35
554,381,162,134.6983169,11.59079733,11
24,382,165,154.3619925,12.14122743,18
152,382,153,158.2961918,14.13959281,24
599,382,138,140.8831397,11.33928836,29
132,384,161,166.9725946,13.98886327,24
436,384,169,145.2131404,12.81763535,8
368,385,135,143.8108242,13.43589533,31
365,386,158,138.9651639,13.26010082,25
574,386,153,136.1698915,11.47560906,17
730,387,148,141.4448854,11.83667143,12
144,388,149,154.9451567,13.99220513,24
54,389,148,139.8948718,11.39803385,5
410,389,156,146.1625045,13.67847089,17
375,390,138,138.5747918,13.28684755,22
817,390,159,136.4993987,11.22162862,7
356,392,157,149.4066038,14.5269583,24
580,392,183,140.3149171,11.58190856,8
363,393,135,155.973672,12.49158788,25
134,394,151,152.8026735,12.44712914,32
439,394,162,134.8931465,11.3505249,8
593,394,145,139.5662898,11.85406865,19
364,396,154,140.9175695,14.18609612,21
348,397,141,146.9683327,13.272676,23
378,397,140,132.073571,12.36014669,21
406,397,155,151.2854197,13.47094744,26
391,398,143,151.6929873,13.66343523,28
800,398,165,153.1344095,12.84634902,16
361,399,144,146.2313897,13.34831961,22
